Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeName
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,1014,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,Tracy Gonzales
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,1015,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,Amy Davis
32,No,Travel_Rarely,804,Research & Development,5,2,Life Sciences,1,1016,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,Mary Mejia
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,1017,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,Arthur Delgado
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,1018,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,Lindsey Kim
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,1019,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,Jessica Meadows
24,No,Non-Travel,673,Research & Development,11,2,Other,1,1020,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,Juan Gray
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,1021,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,Roy Johnson
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,1022,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,Julie Dixon
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,1023,3,Male,96,3,1,Research Scientist,4,Single,4374,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,Oscar Robertson
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,1024,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,Jay Gutierrez
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,1025,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,Austin Davis
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,1026,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,Stacy Gallagher
36,No,Travel_Rarely,804,Sales,8,4,Marketing,1,1027,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Kathryn Gordon MD
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,1028,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,Kristy Gaines
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,1029,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,Julie Jones
33,No,Travel_Rarely,804,Research & Development,2,3,Medical,1,1030,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,Charles Becker
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,1031,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,Michelle Bray
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,1032,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,Cynthia Foley
36,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,1033,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,Brian Gill
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,1034,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Dawn Orozco
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,1035,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,Mrs. Alicia Graves DVM
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,1036,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,Heather Farmer
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,1037,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,Luis Gates
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,1038,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,Jeanne King
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,1039,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,Eileen Fischer
36,No,Travel_Rarely,464,Research & Development,4,2,Other,1,1040,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,Richard Thompson
36,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,1041,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,Franklin Stewart
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,1042,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Brooke Hicks
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,1043,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,Karen Martinez
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,1044,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,Kelly Gaines
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,1045,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,Dawn Chang
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,1046,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,Taylor Douglas
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,1047,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,Timothy Underwood MD
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,1048,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,Pamela Dean
35,No,Travel_Rarely,804,Research & Development,8,1,Life Sciences,1,1049,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,Jennifer Smith
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,1050,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Michael Williams
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,1051,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Douglas Brown
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,1052,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,Anna Barr
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,1053,3,Male,79,2,3,Healthcare Representative,1,Married,4374,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,Shawn Davis
26,No,Travel_Rarely,804,Sales,23,3,Marketing,1,1054,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,Johnny Keller
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,1055,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,Elizabeth Meyer DVM
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,1056,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,Gary Oliver
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,1057,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,Frank Saunders
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,1058,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,Amy Watson
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,1059,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,David Ramsey
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,1060,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Eric Carroll
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,1061,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,Julie Harris
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,1062,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,Brianna Baldwin
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,1063,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,Sergio Church
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,1064,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,Rachel Anderson
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,1065,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Carol Marshall
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,1066,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,Melissa Ali
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,1067,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,Katelyn Drake
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,1068,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,Aaron Schneider
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,1069,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,Robert Snyder
36,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,1070,1,Female,57,2,2,Sales Executive,3,Single,5744,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,Sarah Bass
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,1071,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,Brian Nicholson
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,1072,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,Glenn Berry
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,1073,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,Susan Turner
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,1074,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,Christopher Cardenas
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,1075,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,Matthew Murphy
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,1076,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,Craig Payne
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,1077,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,Justin Fitzgerald
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,1078,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,Ryan Benjamin
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,1079,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,Christopher Smith
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,1080,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,Colton Cain
35,No,Travel_Rarely,804,Research & Development,1,3,Medical,1,1081,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,Cindy Mayo
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,1082,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,Casey Hall
38,No,Non-Travel,804,Research & Development,6,3,Medical,1,1083,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,John Brown
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,1084,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,Alejandra Lambert
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,1085,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,Hayley Freeman
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,1086,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,Patrick Dyer
51,No,Travel_Rarely,804,Research & Development,9,4,Life Sciences,1,1087,4,Male,96,3,1,Laboratory Technician,4,Married,4374,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,Michael Hampton
30,No,Travel_Rarely,804,Research & Development,2,3,Life Sciences,1,1088,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Jason Rojas
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,1089,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,Nicholas Ruiz
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,1090,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,Ryan Rush
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,1091,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,Michael Williams
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,1092,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,Mark Eaton
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,1093,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,Dana Rivera
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,1094,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,Jason Franklin
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,1095,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,Amanda Wood
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,1096,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,Joan Wright
28,No,Non-Travel,120,Sales,4,3,Medical,1,1097,2,Male,43,3,2,Sales Executive,3,Married,5744,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Judy David
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,1098,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,Carrie Santiago
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,1099,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,Theresa West
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,1100,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,Michael Graham
36,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,1101,4,Male,71,3,1,Research Scientist,1,Single,4374,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,Fred Frey
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,1102,4,Female,66,2,1,Laboratory Technician,4,Single,4374,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,Bonnie Davis
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,1103,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,Dustin Rodriguez
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,1104,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,Kevin Hansen
36,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,1105,3,Female,32,2,5,Manager,4,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,Steven Johnson
50,No,Travel_Frequently,804,Research & Development,1,3,Life Sciences,1,1106,1,Female,73,3,5,Research Director,2,Married,4374,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,Dominique Parsons
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,1107,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,Jeffrey Schneider
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,1108,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,Michael Dean
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,1109,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,Jason Kramer
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,1110,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,Brittany Finley
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,1111,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,Charles Flores
54,No,Non-Travel,804,Human Resources,26,3,Human Resources,1,1112,4,Female,30,4,4,Manager,4,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,Renee Christensen
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,1113,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,Shawna Stevens
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,1114,3,Female,45,2,2,Research Scientist,2,Divorced,4374,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0,Autumn Thomas
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,1115,3,Male,87,3,3,Sales Executive,4,Single,5744,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,Jill Johnson
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,1116,3,Female,45,2,3,Manager,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,Jeffrey Henry
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,1117,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,Danielle Strong
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,1118,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,Samantha Rivera
43,No,Travel_Frequently,804,Sales,26,2,Life Sciences,1,1119,3,Male,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,Benjamin Reilly
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,1120,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,Isaiah Martin
33,No,Non-Travel,750,Sales,22,2,Marketing,1,1121,3,Male,95,3,2,Sales Executive,2,Married,6146,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7,Colleen Arnold
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,1122,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3,Marissa Osborne
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,1123,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,Donna Robinson
36,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,1,1124,2,Male,76,1,2,Sales Executive,3,Married,5744,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Mark Hamilton
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,1125,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,Luis Scott
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,1126,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,William Gonzales
